oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
686103400034440,302250290,2460777.0019565332,60776.502905100002,17.8154793,0.0303823277,0,zg,298.00258939999998,29.871454,1.00100005,0.00800000038,20250411502743,686,0x3,0x4,20.4500008,26.4819756,0.0209034141,-0.133158281,8.6252594e-06,30,1.13699996,1
686103400034440,303148870,2460785.9883141029,60785.488703700001,17.7415466,0.0296134483,0,zg,298.00253550000002,29.871468700000001,1.30400002,0.0560000017,20250420488704,686,0x3,0x4,20.7199993,26.4718266,0.019335907,-0.112557188,6.999981e-06,30,1.10699999,1
686103400034440,304246322,2460796.9635392944,60796.463229200002,17.8614922,0.030885648,32768,zg,298.00268840000001,29.8714665,0.745000005,0.0109999999,20250501463229,686,0x3,0x4,21.2800007,26.5192852,0.0200006403,-0.156271443,7.61496767e-06,30,1.09500003,1
686103400034440,304844754,2460802.948237434,60802.447546299998,17.7758141,0.0299638659,0,zg,298.002545,29.871474200000002,0.883000016,0.0520000011,20250507447546,686,0x3,0x4,21.3400002,26.4092579,0.0165209845,-0.10828764,5.17545277e-06,30,1.09300005,1
686103400034440,305145324,2460805.9541213871,60805.453240700001,17.7093201,0.0292930324,0,zg,298.00255140000002,29.871466900000001,0.578000009,0.0399999991,20250510453206,686,0x3,0x4,20.6100006,26.4592552,0.0187301692,-0.102653578,6.78627566e-06,30,1.06200004,1
686103400034440,305345560,2460807.956607867,60807.455601900001,17.6540985,0.0287638325,0,zg,298.00254330000001,29.8714604,0.57099998,-0.0170000009,20250512455602,686,0x3,0x4,19.5900002,26.3177719,0.0263919327,-0.0743338689,1.32163696e-05,30,1.04799998,1
686103400034440,305746981,2460811.9710689066,60811.469814800002,17.7815971,0.030024007,0,zg,298.00255829999998,29.871463800000001,0.65200001,0.00899999961,20250516469803,686,0x3,0x4,20.7000008,26.4629421,0.0184893757,-0.0947642401,6.51701384e-06,30,1.01499999,1
686103400034440,306236599,2460816.86754535,60816.365995400003,17.724659,0.029444458,0,zg,298.00257399999998,29.8714555,1.29900002,0.0599999987,20250521365984,686,0x3,0x4,21.1599998,26.4336319,0.0175641757,-0.100321352,5.86293299e-06,30,1.24600005,1
686103400034440,306445255,2460818.9542312901,60818.452557899996,17.7433662,0.0296318103,0,zg,298.00255970000001,29.871432500000001,1.46099997,0.00200000009,20250523452546,686,0x3,0x4,20.9300003,26.5024357,0.0178309381,-0.111492552,5.99796522e-06,30,1.01300001,1
686103400034440,306732827,2460821.8301158175,60821.328275499996,17.7751656,0.029957138,0,zg,298.00259369999998,29.8714671,0.623000026,0.0140000004,20250526328275,686,0x3,0x4,20.8600006,26.390337,0.0233563092,-0.119667538,1.0364065e-05,30,1.38199997,1
